state,total_enrolment
Uttar Pradesh,1018629
Bihar,609585
Madhya Pradesh,493970
West Bengal,375297
Maharashtra,369139
Rajasthan,348458
Gujarat,280549
Assam,230197
Karnataka,223235
Tamil Nadu,220789
Jharkhand,157539
Telangana,131574
Andhra Pradesh,127681
Odisha,118837
Meghalaya,109771
Chhattisgarh,103219
Haryana,98252
Delhi,94529
Punjab,76746
Kerala,75002
Jammu and Kashmir,47991
Uttarakhand,37698
Himachal Pradesh,17486
Nagaland,15587
Manipur,13456
Tripura,11285
Mizoram,5926
Arunachal Pradesh,4344
Orissa,4149
Chandigarh,2723
Goa,2333
Sikkim,2207
Puducherry,1745
Pondicherry,1272
Jammu And Kashmir,950
Dadra and Nagar Haveli,744
The Dadra And Nagar Haveli And Daman And Diu,716
Ladakh,617
Andaman and Nicobar Islands,397
100000,218
Lakshadweep,203
Dadra and Nagar Haveli and Daman and Diu,173
Jammu & Kashmir,155
Daman and Diu,120
Andaman & Nicobar Islands,114
Dadra & Nagar Haveli,25
Daman & Diu,21
West  Bengal,15
West Bangal,10
West bengal,7
Westbengal,6
andhra pradesh,5
WEST BENGAL,4
ODISHA,1
WESTBENGAL,1
